Date,Open,High,Low,Close,Volume
05/08/2025,"1,404.95","1,420.50","1,397.05","1,404.85","573,809"
05/07/2025,"1,412.05","1,424.90","1,402.15","1,406.00","262,093"
05/06/2025,"1,432.00","1,432.00","1,410.35","1,420.55","311,563"
05/05/2025,"1,427.00","1,439.75","1,427.00","1,431.10","428,786"
05/02/2025,"1,408.40","1,426.00","1,408.40","1,421.95","3,746,656"
04/30/2025,"1,404.90","1,411.85","1,373.50","1,408.35","3,375,628"
04/29/2025,"1,370.35","1,410.90","1,370.20","1,400.30","6,415,191"
04/28/2025,"1,332.35","1,374.90","1,320.15","1,368.50","1,269,304"
04/25/2025,"1,301.00","1,325.25","1,288.00","1,300.05","1,543,897"
04/24/2025,"1,298.65","1,304.45","1,290.50","1,301.65","281,535"
04/23/2025,"1,295.85","1,305.75","1,285.30","1,299.90","420,698"
04/22/2025,"1,300.00","1,303.00","1,286.50","1,290.95","759,456"
04/21/2025,"1,271.55","1,300.00","1,266.75","1,295.85","729,259"
04/17/2025,"1,238.65","1,279.45","1,227.40","1,274.55","392,500"
04/16/2025,"1,239.85","1,240.90","1,229.05","1,238.65","361,521"
04/15/2025,"1,256.00","1,256.00","1,237.00","1,239.90","719,043"
04/11/2025,"1,200.00","1,222.45","1,197.05","1,219.30","684,519"
04/09/2025,"1,172.40","1,189.50","1,169.10","1,185.60","495,957"
04/08/2025,"1,177.85","1,196.80","1,163.85","1,182.40","894,893"
